id,domaine,sous_type,niveau_1_5,temps_conseille_sec,mode_reponse,consigne_examinateur,stimulus,choix_A,choix_B,choix_C,choix_D,reponse_attendue,explication_correction,bareme,construct_cible,tags,source_cadre,avertissement
CV-001,Compréhension verbale,Similarités abstraites,2,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Un microscope et un télescope,Des instruments qui étendent l'observation humaine au-delà de la vision ordinaire.,Deux objets que l'on trouve toujours dans un laboratoire.,Deux appareils qui servent uniquement à mesurer une distance.,Deux outils qui fonctionnent sans lentille.,A,"Le point commun de niveau supérieur est l'extension de la perception visuelle; l'un vise le très petit, l'autre le très lointain.","1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-002,Compréhension verbale,Similarités abstraites,2,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Une règle sociale et une loi,Deux textes toujours écrits dans un code civil.,Deux normes qui orientent ou limitent les comportements dans un groupe.,Deux opinions individuelles sans conséquence.,Deux sanctions pénales.,B,"Une règle sociale et une loi sont des cadres normatifs; la loi est formalisée juridiquement, la règle sociale peut être informelle.","1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-003,Compréhension verbale,Similarités abstraites,2,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Une carte et un modèle réduit,Deux objets nécessairement en papier.,Deux moyens de se déplacer plus vite.,Deux représentations simplifiées d'une réalité plus complexe.,Deux copies toujours à la même échelle.,C,Les deux représentent une réalité en la simplifiant et en sélectionnant certaines informations.,"1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-004,Compréhension verbale,Similarités abstraites,3,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Un doute et une hypothèse,Deux certitudes démontrées.,Deux émotions sans rapport avec la pensée.,Deux erreurs de raisonnement.,Deux états/propositions qui appellent une vérification.,D,Le doute suspend l'adhésion; l'hypothèse propose une explication provisoire à tester.,"1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-005,Compréhension verbale,Similarités abstraites,4,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Un poème et une équation,Deux systèmes symboliques qui produisent du sens sous contraintes.,Deux phrases qui racontent toujours une histoire.,Deux notations qui ne supportent aucune interprétation.,Deux objets faits pour mesurer le temps.,A,"Les deux utilisent des symboles selon des règles ou contraintes: rythme/langue pour le poème, opérateurs/relations pour l'équation.","1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-006,Compréhension verbale,Similarités abstraites,2,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Un vaccin et une ceinture de sécurité,Deux traitements qui guérissent une blessure déjà présente.,Deux moyens préventifs qui réduisent un risque avant l'incident.,Deux objets obligatoirement métalliques.,Deux preuves d'identité.,B,Ils servent à réduire la probabilité ou la gravité d'un dommage avant qu'il ne survienne.,"1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-007,Compréhension verbale,Similarités abstraites,3,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Un budget et un calendrier,Deux listes de personnes.,Deux formes d'argent.,Deux outils de planification et d'allocation de ressources limitées.,Deux documents utilisables seulement en entreprise.,C,Le budget répartit des moyens financiers; le calendrier répartit du temps.,"1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-008,Compréhension verbale,Similarités abstraites,2,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Un dictionnaire et un atlas,Deux ouvrages de référence qui organisent l'information pour la consultation.,Deux romans classés par chapitres.,Deux instruments de mesure de température.,Deux objets qui n'ont pas de structure interne.,A,"Les deux structurent un domaine d'information: mots/définitions pour le dictionnaire, lieux/cartes pour l'atlas.","1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-009,Compréhension verbale,Similarités abstraites,2,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Un algorithme et une recette,Deux textes poétiques.,Deux listes impossibles à exécuter.,Deux images sans ordre.,Deux suites d'étapes visant un résultat reproductible.,D,"Dans les deux cas, l'ordre des opérations permet d'obtenir un résultat attendu.","1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-010,Compréhension verbale,Similarités abstraites,3,45,QCM,Dites en quoi les deux notions se ressemblent. Choisissez la réponse la plus générale et la plus abstraite.,Un juge et un arbitre,Deux joueurs d'une équipe.,Deux personnes qui inventent les faits après coup.,Deux tiers chargés d'appliquer des règles et de trancher un litige.,Deux témoins qui ne prennent jamais de décision.,C,Le juge et l'arbitre ont une fonction de décision selon un cadre de règles.,"1 point si réponse exacte, 0 sinon.",Raisonnement verbal catégoriel,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-011,Compréhension verbale,Vocabulaire conceptuel,2,35,QCM,Choisissez la définition la plus précise du mot présenté.,Pragmatique,Orienté vers les conséquences pratiques et l'efficacité concrète.,Qui refuse toute action concrète.,Qui concerne uniquement la grammaire.,Qui change de forme au hasard.,A,'Pragmatique' renvoie à l'utilité concrète et aux effets pratiques.,"1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
